Name of the show,FEIF ID,Age & Gender,Total,Total w/o pace,Year of a show,Name,Name of the farm (stud),Colour code,Colour,Sire´s FEIF ID,Sire Freq,Name,Name of the farm (stud),Dam´s FEIF ID,Dam Freq,Name,Name of the farm (stud)
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019180326,5-year old stallions,8.1,8.45,2024,Fálki,Traðarlandi,3700,Dökkjarpur.,IS2012188095,52,Kveikur,Stangarlæk 1,IS2007280326,2,Freyja,Traðarlandi
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2017284371,7-year and older mares,8.1,8.05,2024,Píla,Skíðbakka I,3400,Rauðjörp,IS2010177270,5,Organisti,Horni I,IS2005287337,1,Hyggja,Hoftúni
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018288747,6-year old mares,8.09,8.06,2024,Óvissa,Bjarnastöðum,2520,Brúnstjörnóttur,IS2011188771,3,Ísar,Hömrum II,IS1994288747,3,Snæfríður,Bjarnastöðum
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019258626,5-year old mares,8.09,8.43,2024,Friðey,Flugumýri,3444,Jörp - tvístjörnótt - hringeygð,IS2009167169,14,Hringur,Gunnarsstöðum I,IS1999258626,1,Klara,Flugumýri II
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2020201834,4-year old mares,8.08,8.2,2024,Fold,Hagabakka,2510,Brúnskjótt,IS2012181608,51,Þráinn,Flagbjarnarholti,IS2012288474,3,Framtíð,Fellskoti
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018255211,6-year old mares,8.08,8.09,2024,Gára,Klömbrum,110,"Gráskjótt, fædd rauðskjótt.",IS2012181608,51,Þráinn,Flagbjarnarholti,IS2001276176,2,Muska,Ketilsstöðum
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018188501,6-year old stallions,8.08,8.15,2024,Frírekur,Torfastöðum,3700,Jarpur,IS2006187114,32,Spuni,Vesturkoti,IS2007288501,1,Síbíl,Torfastöðum
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018187335,6-year old stallions,8.07,8.05,2024,Knífur,Arnarstaðakoti,2500,Brúnn.,IS2007186189,22,Arion,Eystra-Fróðholti,IS2001286953,1,Klassík,Litlu-Tungu 2
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2017288739,7-year and older mares,8.07,8.06,2024,Komma,Kringlu 2,3520,Jörpstjörnótt,IS2008187767,1,Þröstur,Efri-Gegnishólum,IS2009201180,1,Yrpa,Hásæti
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2020182315,4-year old stallions,8.06,8.39,2024,Viktor,Hamarsey,2500,Brúnn,IS2012157141,12,Dofri,Sauðárkróki,IS2011284978,2,Viðja,Hvolsvelli
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2017235084,7-year and older mares,8.04,8.39,2024,Bylgja,Steinsholti 1,7500,,IS1997186183,9,Sær,Bakkakoti,IS2001257342,1,Kólga,Hafsteinsstöðum
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018256525,6-year old mares,8.02,8.11,2024,Ísey,Stekkjardal,4040,"Föl, tvístjörnótt, með eitt slettugen",IS2010156416,4,Akur,Kagaðarhóli,IS1999256720,2,Lögg,Brandsstöðum
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018225156,6-year old mares,8.01,8.36,2024,Þögn,Skrauthólum 2,200,Grá fædd brún.,IS2012181900,13,Jökull,Rauðalæk,IS2002287409,1,Roðaspá,Langholti
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019201857,5-year old mares,7.99,8.33,2024,Rósmarín,Heljardal,2500,Brún,IS2014186903,12,Fenrir,Feti,IS2006265085,1,Lilja,Syðra-Holti
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018137638,6-year old stallions,7.98,8.29,2024,Gnarr,Brautarholti,1240,Ljósrauðtvístjörnóttur,IS2009101044,37,Skaginn,Skipaskaga,IS1994284263,2,Ambátt,Kanastöðum
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2016265605,7-year and older mares,7.98,7.96,2024,Hrafney,Hrafnagili,900,Grá,IS2003176452,11,Kjerúlf,Kollaleiru,IS2000265494,2,Ösp,Efri-Rauðalæk
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018187138,6-year old stallions,7.98,8.2,2024,Nökkvi,Sunnuhvoli,2530,,IS2006158620,28,Hrannar,Flugumýri II,IS2008282336,1,Rebekka,Kjartansstöðum
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018225095,6-year old mares,7.97,8.31,2024,Kolgríma,Morastöðum,3700,,IS2013125097,3,Borgfjörð,Morastöðum,IS2001265103,2,Kolbrá,Litla-Dal
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2015225096,7-year and older mares,7.95,7.88,2024,Freydís,Morastöðum,7520,Móálótt stjörnótt,IS2011125045,2,Frjór,Flekkudal,IS2002265101,2,Frenja,Litla-Dal
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2020182544,4-year old stallions,7.95,8.03,2024,Bjartur,Hrafnshaga,1521,"Rauðstjörnóttur, glófextur.",IS2013186003,3,Þór,Stóra-Hofi,IS2007225037,1,Jósefína,Þúfu í Kjós
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019201035,5-year old mares,7.94,8.26,2024,Andrea,Margrétarhofi,1500,Rauð.,IS2011157299,3,Óskar,Breiðstöðum,IS2009201031,4,Spenna,Margrétarhofi
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019265601,5-year old mares,7.93,8.27,2024,Fenja,Hrafnagili,3200,,IS2014186903,12,Fenrir,Feti,IS2010265601,2,Fífa,Hrafnagili
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2020284812,4-year old mares,7.92,8.24,2024,Nótt,Tjaldhólum,2700,"Dökkbrún/svört, einlit",IS2015158431,9,Skarpur,Kýrholti,IS2001284811,3,Sýn,Árnagerði
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2017286436,7-year and older mares,7.86,7.89,2024,Katla,Hólsbakka,6400,Fífilbleik,IS2010184301,1,Ferill,Búðarhóli,IS2006286436,1,Kúnst,Búð 2
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2020186733,4-year old stallions,7.85,8.15,2024,Svartur,Vöðlum,2500,Brúnn,IS2012188095,52,Kveikur,Stangarlæk 1,IS1997235719,5,Nótt,Oddsstöðum I
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2020285260,4-year old mares,7.83,7.89,2024,Gjósta,Þykkvabæ I,2500,Brún,IS2006158620,28,Hrannar,Flugumýri II,IS2006285260,1,Lyfting,Þykkvabæ I
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2018287003,6-year old mares,7.82,8.13,2024,Flaug,Kjarri,2500,Brún.,IS2008187001,2,Stúfur,Kjarri,IS1998287005,2,Auðna,Kjarri
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2017288418,7-year and older mares,7.82,8.14,2024,Fiðla,Einiholti,1521,Rauðstjörnótt.,IS2013101473,1,Óskar,Þingbrekku,IS1999235830,1,Kíara,Laugavöllum
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2019288419,5-year old mares,7.67,7.83,2024,Gríma,Einiholti,1600,Dreyrrauð.,IS2010125110,11,Glúmur,Dallandi,IS2011286120,1,Korka,Kirkjubæ
"Vorsýning Víðidal í Reykjavík, vikuna 3. til 7. júní.",IS2017225098,7-year and older mares,7.58,7.86,2024,Stjarna,Morastöðum,1520,Rauðstjörnótt,IS2013125097,3,Borgfjörð,Morastöðum,IS2005265103,1,Komma,Litla-Dal
"Vorsýning Spretti í Kópavogi, vikuna 18. til 20. júní.",IS2018236940,6-year old mares,8.39,8.42,2024,Viska,Haukagili Hvítársíðu,2700,Svört,IS2010135610,3,Sproti,Innri-Skeljabrekku,IS2009255412,3,Vitrun,Grafarkoti
"Vorsýning Spretti í Kópavogi, vikuna 18. til 20. júní.",IS2018287900,6-year old mares,8.37,8.43,2024,Regína,Skeiðháholti,2500,,IS2011135727,21,Forkur,Breiðabólsstað,IS2001287900,3,Bríet,Skeiðháholti
"Vorsýning Spretti í Kópavogi, vikuna 18. til 20. júní.",IS2018158958,6-year old stallions,8.35,8.28,2024,Kolfinnur,Egilsá,2520,Brúnstjörnóttur,IS2013187660,59,Álfaklettur,Syðri-Gegnishólum,IS2007281430,2,Urður,Ásmundarstöðum
"Vorsýning Spretti í Kópavogi, vikuna 18. til 20. júní.",IS2018288646,6-year old mares,8.33,8.25,2024,Dögg,Unnarholti,3700,Jörp,IS2006187114,32,Spuni,Vesturkoti,IS2003266211,3,Nótt,Torfunesi
"Vorsýning Spretti í Kópavogi, vikuna 18. til 20. júní.",IS2018286005,6-year old mares,8.3,8.26,2024,Kempa,Stóra-Hofi,2510,"Brúnskjótt, tvístjörnótt.",IS2008186002,5,Nói,Stóra-Hofi,IS2002286001,2,Kría,Stóra-Hofi
"Vorsýning Spretti í Kópavogi, vikuna 18. til 20. júní.",IS2019125563,5-year old stallions,8.29,8.44,2024,Mánasteinn,Hafnarfirði,1504,"Rauður, glaseygður.",IS1995135993,6,Hróður,Refsstöðum,IS2003265581,3,Íma,Akureyri
"Vorsýning Spretti í Kópavogi, vikuna 18. til 20. júní.",IS2013281851,7-year and older mares,8.29,8.27,2024,Katla,Þjóðólfshaga 1,6400,Fífilbleik,IS2002165311,5,Fróði,Staðartungu,IS2003238908,2,Hekla,Búðardal
"Vorsýning Spretti í Kópavogi, vikuna 18. til 20. júní.",IS2017286809,7-year and older mares,8.28,8.31,2024,Hula,Lækjarbotnum,2500,,IS2010156418,4,Vegur,Kagaðarhóli,IS2011286810,1,Þula,Lækjarbotnum
"Vorsýning Spretti í Kópavogi, vikuna 18. til 20. júní.",IS2018157368,6-year old stallions,8.25,8.17,2024,Skorri,Varmalandi,2500,,IS2006187114,32,Spuni,Vesturkoti,IS2003258713,3,Gjálp,Miðsitju
"Vorsýning Spretti í Kópavogi, vikuna 18. til 20. júní.",IS2019202001,5-year old mares,8.25,8.63,2024,Súperstjarna,Þórhóli,1540,Rauðtvístjörnóttur,IS2014187804,13,Útherji,Blesastöðum 1A,IS2007276214,2,Djásn,Útnyrðingsstöðum
"Vorsýning Spretti í Kópavogi, vikuna 18. til 20. júní.",IS2017183409,7-year and older stallions,8.25,8.63,2024,Kriki,Krika,3510,Jarpskjóttur,IS2009187660,7,Álfarinn,Syðri-Gegnishólum,IS2006286296,1,Þrenning,Kaldbak
